名称,请求方式,地址,说明,支持自建应用,支持商店应用,文档链接
更新应用红点,POST,/open-apis/application/v6/app_badge/set,更新应用红点信息，用于工作台场景,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/application-v6/app_badge/set
获取企业席位信息接口,GET,/open-apis/tenant/v2/tenant/assign_info_list/query,获取租户下的席位列表，包含席位名称、席位ID、数量及对应有效期。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/tenant-v2/tenant-product_assign_info/query
获取企业信息,GET,/open-apis/tenant/v2/tenant/query,获取企业名称、企业编号等企业信息,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/tenant-v2/tenant/query
获取认证信息,GET,/open-apis/verification/v1/verification,获取企业主体名称、是否认证等信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/verification-v1/verification/get
创建系统状态,POST,/open-apis/personal_settings/v1/system_statuses,创建租户维度的系统状态。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/create
删除系统状态,DELETE,/open-apis/personal_settings/v1/system_statuses/:system_status_id,删除租户维度的系统状态。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/delete
修改系统状态,PATCH,/open-apis/personal_settings/v1/system_statuses/:system_status_id,修改租户维度系统状态。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/patch
获取系统状态,GET,/open-apis/personal_settings/v1/system_statuses,获取租户下所有系统状态。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/list
批量开启系统状态,POST,/open-apis/personal_settings/v1/system_statuses/:system_status_id/batch_open,批量开启用户系统状态可用。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/batch_open
批量关闭系统状态,POST,/open-apis/personal_settings/v1/system_statuses/:system_status_id/batch_close,批量关闭用户系统状态可用。,是,否,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/personal_settings-v1/system_status/batch_close
搜索消息,POST,/open-apis/search/v2/message,用户可以通过关键字搜索可见消息，可见性和套件内搜素一致。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/message/create
搜索应用,POST,/open-apis/search/v2/app,用户可以通过关键字搜索到可见应用，应用可见性与套件内搜索一致。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/app/create
创建数据源,POST,/open-apis/search/v2/data_sources,创建一个数据源。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source/create
删除数据源,DELETE,/open-apis/search/v2/data_sources/:data_source_id,删除一个已存在的数据源。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source/delete
修改数据源,PATCH,/open-apis/search/v2/data_sources/:data_source_id,更新一个已经存在的数据源。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source/patch
获取数据源,GET,/open-apis/search/v2/data_sources/:data_source_id,获取已经创建的数据源。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source/get
批量获取数据源,GET,/open-apis/search/v2/data_sources,批量获取创建的数据源信息。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source/list
为指定数据项创建索引,POST,/open-apis/search/v2/data_sources/:data_source_id/items,索引一条数据记录。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source-item/create
删除数据项,DELETE,/open-apis/search/v2/data_sources/:data_source_id/items/:item_id,删除数据项。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source-item/delete
查询指定数据项,GET,/open-apis/search/v2/data_sources/:data_source_id/items/:item_id,获取单个数据记录。,是,是,https://open.feishu.cn/document/uAjLw4CM/ukTMukTMukTM/search-v2/data_source-item/get
